City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,24.97,88,20,0.0,MY,1680555818
1,rikitea,-23.1203,-134.9692,26.53,81,90,6.33,PF,1680555819
2,te anau,-45.4167,167.7167,11.21,82,19,0.05,NZ,1680555820
3,husavik,66.0449,-17.3389,3.29,94,100,4.33,IS,1680555821
4,kota kinabalu,5.9749,116.0724,24.99,88,20,2.24,MY,1680555821
5,lebu,-37.6167,-73.65,14.68,63,0,7.85,CL,1680555822
6,andenes,69.3143,16.1194,2.99,75,75,8.23,NO,1680555822
7,naze,28.3667,129.4833,17.51,58,63,9.58,JP,1680555823
8,coihaique,-45.5752,-72.0662,9.48,89,100,2.91,CL,1680555823
9,piranhas,-16.4269,-51.8222,25.8,76,40,0.95,BR,1680555821
10,punta arenas,-53.15,-70.9167,9.37,71,93,10.74,CL,1680555824
11,mecca,21.4267,39.8261,24.21,40,91,1.57,SA,1680555622
12,hilo,19.7297,-155.09,26.27,77,96,2.68,US,1680555826
13,dukhovnitskoye,52.4828,48.2137,8.53,61,3,2.49,RU,1680555827
14,vaini,-21.2,-175.2,28.09,69,20,5.14,TO,1680555827
15,ushuaia,-54.8,-68.3,11.56,76,46,4.3,AR,1680555812
16,barentu,15.1139,37.5928,24.61,21,12,1.81,ER,1680555829
17,busselton,-33.65,115.3333,15.38,79,24,2.86,AU,1680555830
18,tabatinga,-4.2525,-69.9381,24.0,94,75,4.12,BR,1680555714
19,port moresby,-9.4431,147.1797,24.79,90,100,2.94,PG,1680555646
20,bandarbeyla,9.4942,50.8122,27.29,74,19,5.05,SO,1680555831
21,touros,-5.1989,-35.4608,26.26,76,83,3.4,BR,1680555832
22,sitka,57.0531,-135.33,5.68,65,38,0.89,US,1680555835
23,aksarka,66.5606,67.7975,-19.56,91,28,6.08,RU,1680555836
24,tahoua,14.8888,5.2692,28.83,6,100,3.24,NE,1680555837
25,lompoc,34.6391,-120.4579,15.56,55,20,13.38,US,1680555837
26,atuona,-9.8,-139.0333,26.62,83,94,7.2,PF,1680555838
27,mahebourg,-20.4081,57.7,25.7,79,94,4.14,MU,1680555623
28,sironj,24.1,77.7,26.66,26,0,7.15,IN,1680555839
29,hermanus,-34.4187,19.2345,16.73,83,22,0.52,ZA,1680555809
30,chengde,40.9725,117.9361,7.35,57,100,2.2,CN,1680555698
31,chokurdakh,70.6333,147.9167,-15.05,96,96,4.26,RU,1680555841
32,nikolskoye,59.7035,30.7861,-0.05,95,100,3.64,RU,1680555841
33,kruisfontein,-34.0033,24.7314,16.05,85,100,5.89,ZA,1680555842
34,billings,45.7833,-108.5007,7.38,42,75,5.66,US,1680555842
35,bethel,41.3712,-73.414,15.02,45,0,6.69,US,1680555843
36,tasiilaq,65.6145,-37.6368,-3.53,87,100,2.17,GL,1680555606
37,fomboni,-12.28,43.7425,28.43,73,81,3.43,KM,1680555844
38,cape town,-33.9258,18.4232,20.21,80,39,1.21,ZA,1680555621
39,watrous,51.6668,-105.4679,-8.77,77,100,3.61,CA,1680555845
40,weiser,44.251,-116.9693,7.72,44,94,3.58,US,1680555845
41,mbuguni,-3.5667,36.95,20.26,85,100,2.0,TZ,1680555846
42,manokwari,-0.8667,134.0833,25.77,79,100,0.78,ID,1680555846
43,hobart,-42.8794,147.3294,11.92,90,75,3.6,AU,1680555566
44,saint george,37.1041,-113.5841,14.41,44,100,11.32,US,1680555848
45,hithadhoo,-0.6,73.0833,27.89,74,100,5.14,MV,1680555848
46,albany,42.6001,-73.9662,16.99,34,72,6.19,US,1680555849
47,caravelas,-17.7125,-39.2481,24.41,81,100,4.05,BR,1680555849
48,moramanga,-18.9333,48.2,19.03,98,100,0.32,MG,1680555850
49,miyako,39.6367,141.9525,6.12,48,1,1.76,JP,1680555850
50,mataura,-46.1927,168.8643,14.71,76,89,1.33,NZ,1680555851
51,banda aceh,5.5577,95.3222,25.26,84,92,1.49,ID,1680555794
52,pevek,69.7008,170.3133,-28.06,95,45,3.24,RU,1680555852
53,flinders,-34.5833,150.8552,15.66,88,34,1.34,AU,1680555853
54,pundaguitan,6.3711,126.1689,27.02,77,84,1.33,PH,1680555854
55,avera,33.194,-82.5271,19.73,70,96,3.34,US,1680555855
56,klaksvik,62.2266,-6.589,8.51,90,100,10.96,FO,1680555855
57,longyearbyen,78.2186,15.6401,-13.09,78,75,9.77,SJ,1680555856
58,battle creek,42.3212,-85.1797,13.21,67,100,2.06,US,1680555856
59,dudinka,69.4058,86.1778,-35.65,100,56,1.29,RU,1680555857
60,nanticoke,41.2054,-76.0049,18.51,49,44,1.34,US,1680555857
61,port alfred,-33.5906,26.891,17.88,85,57,2.68,ZA,1680555791
62,cortez,37.3489,-108.5859,18.42,21,0,13.89,US,1680555859
63,geraldton,-28.7667,114.6,19.23,82,40,4.63,AU,1680555860
64,puerto colombia,10.9878,-74.9547,29.05,82,6,11.31,CO,1680555861
65,novobirilyussy,56.9514,90.6661,-1.66,94,100,4.58,RU,1680555861
66,tiksi,71.6872,128.8694,-13.17,95,93,2.57,RU,1680555862
67,khandyga,62.6667,135.6,-11.79,91,100,1.27,RU,1680555863
68,saint anthony,45.0205,-93.218,6.96,60,0,4.12,US,1680555765
69,energetik,51.7445,58.7934,3.39,72,48,3.11,RU,1680555864
70,mar del plata,-38.0023,-57.5575,19.41,69,39,0.89,AR,1680555601
71,columbus,39.9612,-82.9988,20.62,53,0,5.14,US,1680555691
72,okha,53.5739,142.9478,0.18,89,100,8.58,RU,1680555866
73,qaanaaq,77.484,-69.3632,-22.34,75,9,2.05,GL,1680555867
74,namatanai,-3.6667,152.4333,26.56,78,99,1.52,PG,1680555867
75,sorrento,40.626,14.3744,12.92,76,100,4.47,IT,1680555868
76,mount isa,-20.7333,139.5,20.87,30,30,1.54,AU,1680555869
77,bolshaya martynovka,47.271,41.6679,8.88,94,18,3.83,RU,1680555870
78,butaritari,3.0707,172.7902,27.86,80,97,8.63,KI,1680555870
79,chapais,49.7834,-74.8492,-0.32,97,100,1.97,CA,1680555871
80,liberal,37.0431,-100.921,23.58,11,0,2.62,US,1680555628
81,port lincoln,-34.7333,135.8667,17.6,73,37,2.42,AU,1680555873
82,ola,59.5833,151.2833,-15.02,79,16,3.29,RU,1680555873
83,saldanha,-33.0117,17.9442,16.54,88,12,3.09,ZA,1680555874
84,chuy,-33.6971,-53.4616,17.76,74,99,2.05,UY,1680555874
85,mandvi,22.8333,69.3667,24.89,82,20,6.17,IN,1680555750
86,bogorodskoye,56.55,37.8833,6.95,92,100,0.66,RU,1680555875
87,aguada de pasajeros,22.385,-80.8508,32.25,37,0,5.49,CU,1680555875
88,gobabis,-22.45,18.9667,19.29,53,7,2.71,NA,1680555876
89,iqaluit,63.7506,-68.5145,-14.61,71,31,5.81,CA,1680555876
90,bay roberts,47.5999,-53.2648,0.74,72,34,6.26,CA,1680555877
91,bluff,-46.6,168.3333,14.89,75,91,5.93,NZ,1680555877
92,sinazongwe,-17.2614,27.4618,23.36,67,39,1.08,ZM,1680555878
93,isangel,-19.55,169.2667,27.74,79,44,2.9,VU,1680555878
94,bambous virieux,-20.3428,57.7575,25.68,78,96,3.94,MU,1680555880
95,yellowknife,62.456,-114.3525,-8.23,84,100,2.24,CA,1680555737
96,puerto carreno,6.189,-67.4859,37.15,24,75,2.68,CO,1680555881
97,poum,-20.2333,164.0167,27.02,80,66,4.59,NC,1680555881
98,bredasdorp,-34.5322,20.0403,16.17,81,28,1.14,ZA,1680555883
99,tezu,27.9167,96.1667,16.75,77,99,1.75,IN,1680555683
100,barrow,71.2906,-156.7887,-15.99,78,75,5.14,US,1680555739
101,arraial do cabo,-22.9661,-42.0278,25.92,61,75,2.06,BR,1680555884
102,lavrentiya,65.5833,-171.0,-14.88,85,96,3.57,RU,1680555602
103,kaoma,-14.7833,24.8,17.34,92,53,2.28,ZM,1680555885
104,norman wells,65.282,-126.8329,-3.98,80,40,2.06,CA,1680555885
105,new norfolk,-42.7826,147.0587,11.72,79,100,1.22,AU,1680555886
106,toora-khem,52.4675,96.11,-12.78,95,98,1.08,RU,1680555887
107,bathsheba,13.2167,-59.5167,27.34,69,75,8.23,BB,1680555889
108,bengkulu,-3.8004,102.2655,23.49,92,100,2.27,ID,1680555889
109,charters towers,-20.1,146.2667,21.82,94,21,1.69,AU,1680555890
110,port arthur,38.8,121.2667,11.12,64,100,3.53,CN,1680555890
111,fez,34.0372,-4.9998,14.14,62,0,2.57,MA,1680555633
112,penzance,50.1186,-5.5371,7.38,76,100,7.08,GB,1680555845
113,jamestown,42.097,-79.2353,9.35,86,100,3.2,US,1680555646
114,porto santo,33.072,-16.3415,17.21,67,40,9.26,PT,1680555892
115,vestmannaeyjar,63.4427,-20.2734,8.36,95,100,14.39,IS,1680555892
116,ribeira grande,38.5167,-28.7,14.32,78,76,2.24,PT,1680555823
117,east london,-33.0153,27.9116,19.01,70,37,7.43,ZA,1680555894
118,deputatskiy,69.3,139.9,-19.47,99,55,1.38,RU,1680555894
119,sembakung,3.8167,117.25,21.78,99,90,0.84,ID,1680555894
120,coquimbo,-29.9533,-71.3436,19.46,72,60,3.66,CL,1680555774
121,castro,-24.7911,-50.0119,19.44,72,2,0.64,BR,1680555896
122,san patricio,28.017,-97.5169,35.65,53,72,7.41,US,1680555896
123,luderitz,-26.6481,15.1594,17.06,70,0,7.96,NA,1680555898
124,high level,58.5169,-117.136,-1.62,78,100,1.31,CA,1680555898
125,tombouctou,20.0,-3.0,27.89,6,0,3.28,ML,1680555899
126,tucuman,-26.8241,-65.2226,23.47,88,76,1.63,AR,1680555729
127,dunedin,-45.8742,170.5036,14.89,71,76,3.58,NZ,1680555693
128,fauvillers,49.8512,5.664,2.47,68,0,0.45,BE,1680555900
129,sao filipe,14.8961,-24.4956,23.92,69,4,1.64,CV,1680555901
130,thompson,55.7435,-97.8558,-8.61,76,100,1.51,CA,1680555901
131,blackwater,-23.5833,148.8833,21.05,81,8,2.57,AU,1680555902
132,emilio carranza,19.9711,-96.6114,29.59,63,61,6.21,MX,1680555903
133,victoria,22.2855,114.1577,23.86,95,89,5.48,HK,1680555773
134,velsk,61.0701,42.0983,0.24,98,100,2.98,RU,1680555903
135,portland,45.5234,-122.6762,9.44,79,75,3.09,US,1680555904
136,la brea,15.8,-85.9667,29.73,70,20,7.72,HN,1680555904
137,paamiut,61.994,-49.6678,1.66,84,100,3.77,GL,1680555905
138,puerto ayora,-0.7393,-90.3518,30.98,87,100,3.13,EC,1680555906
139,jiangyou,31.7667,104.7167,13.11,81,100,0.74,CN,1680555906
140,goderich,43.7501,-81.7165,7.46,63,100,2.78,CA,1680555907
141,garissa,-0.4536,39.6401,28.14,66,48,6.21,KE,1680555907
142,faanui,-16.4833,-151.75,27.87,71,46,3.1,PF,1680555908
143,kurtamysh,54.9103,64.4319,1.01,79,5,2.56,RU,1680555911
144,cherskiy,68.75,161.3,-19.6,82,100,4.58,RU,1680555912
145,darhan,49.4867,105.9228,-7.89,55,0,3.52,MN,1680555912
146,moerai,-22.4333,-151.3333,24.38,74,100,4.96,PF,1680555913
147,lakatoro,-16.0999,167.4164,28.25,76,76,3.96,VU,1680555913
148,college,64.8569,-147.8028,-1.07,62,40,3.09,US,1680555913
149,krivosheino,57.3431,83.9261,0.57,95,100,2.9,RU,1680555914
150,constantine,36.365,6.6147,7.67,81,75,3.6,DZ,1680555914
151,san cristobal,7.7669,-72.225,27.1,42,50,2.44,VE,1680555916
152,jurado,7.1053,-77.7641,28.6,78,85,1.68,CO,1680555916
153,nampula,-15.1165,39.2666,20.38,99,74,2.05,MZ,1680555684
154,bima,-8.4667,118.7167,23.72,97,100,0.51,ID,1680555917
155,linxia,35.6003,103.2064,2.4,81,100,0.5,CN,1680555917
156,ushirombo,-3.4919,31.9639,17.34,96,100,1.14,TZ,1680555918
157,katsuura,35.1333,140.3,10.24,65,0,4.78,JP,1680555918
158,ostrovnoy,68.0531,39.5131,-7.97,85,18,8.55,RU,1680555918
159,ginda,30.6945,78.4932,7.47,72,14,3.65,IN,1680555919
160,muhos,64.808,25.9931,-11.12,95,57,1.8,FI,1680555919
161,cayenne,4.9333,-52.3333,27.02,74,40,5.14,GF,1680555919
162,nyurba,63.2842,118.3319,-9.88,96,100,2.23,RU,1680555920
163,hay river,60.8156,-115.7999,-6.82,84,97,2.19,CA,1680555922
164,adre,13.4667,22.2,28.01,14,80,2.9,TD,1680555923
165,show low,34.2542,-110.0298,16.16,17,0,18.52,US,1680555923
166,torbay,47.6666,-52.7314,0.32,77,8,4.47,CA,1680555923
167,kodiak,57.79,-152.4072,0.73,100,100,0.0,US,1680555924
168,vostok,46.4856,135.8833,3.91,92,100,3.18,RU,1680555924
169,balkanabat,39.5108,54.3671,9.84,69,23,2.27,TM,1680555925
170,rawson,-43.3002,-65.1023,21.21,29,0,1.73,AR,1680555927
171,port elizabeth,-33.918,25.5701,17.95,86,73,5.36,ZA,1680555928
172,kapaa,22.0752,-159.319,25.99,80,75,6.17,US,1680555879
173,kyzyl-mazhalyk,51.1333,90.6,-6.32,44,5,0.85,RU,1680555929
174,vila velha,-20.3297,-40.2925,25.97,66,0,3.09,BR,1680555929
175,qinzhou,21.95,108.6167,22.8,93,9,3.3,CN,1680555675
176,strangnas,59.3774,17.0312,-1.14,82,62,1.29,SE,1680555913
177,opuwo,-18.0607,13.84,22.71,37,63,1.22,NA,1680555930
178,manyoni,-5.7467,34.8382,17.51,91,91,1.1,TZ,1680555931
179,ilulissat,69.2167,-51.1,-8.99,67,40,7.72,GL,1680555927
180,skelleftea,64.7507,20.9528,-3.8,58,20,3.09,SE,1680555740
181,kaitangata,-46.2817,169.8464,13.27,74,64,2.96,NZ,1680555932
182,kropotkin,45.4375,40.5756,8.42,91,61,1.99,RU,1680555815
183,eyl,7.9803,49.8164,27.69,70,27,5.41,SO,1680555933
184,beloha,-25.1667,45.05,22.88,88,30,4.97,MG,1680555933
185,ponta do sol,32.6667,-17.1,18.35,60,38,4.8,PT,1680555934
186,talnakh,69.4865,88.3972,-33.64,99,66,2.37,RU,1680555934
187,maniitsoq,65.4167,-52.9,-0.24,71,51,2.85,GL,1680555935
188,atar,20.5169,-13.0499,30.0,8,35,4.61,MR,1680555935
189,cedar city,37.6775,-113.0619,1.33,93,100,8.75,US,1680555936
190,chicama,-7.8447,-79.1469,29.3,66,93,4.11,PE,1680555936
191,pisco,-13.7,-76.2167,27.03,69,0,8.23,PE,1680555937
192,yurty,56.0498,97.6348,-2.12,76,100,6.53,RU,1680555648
193,kyra,49.5776,111.9753,-14.58,81,1,1.86,RU,1680555939
194,carnarvon,-24.8667,113.6333,23.87,74,8,6.13,AU,1680555939
195,mandera,3.9366,41.867,30.54,51,5,1.52,KE,1680555940
196,copacabana,6.3463,-75.5089,27.24,82,100,1.12,CO,1680555940
197,avarua,-21.2078,-159.775,27.03,61,98,3.6,CK,1680555841
198,fort nelson,58.8053,-122.7002,-2.48,83,100,3.54,CA,1680555941
199,irbeyskoye,55.6428,95.4522,-1.39,68,100,6.87,RU,1680555941
200,mehamn,71.0357,27.8492,0.97,69,40,10.8,NO,1680555942
201,zhigansk,66.7697,123.3711,-13.47,99,99,4.22,RU,1680555942
202,awbari,26.5921,12.7805,16.99,10,0,4.03,LY,1680555943
203,trairi,-3.2778,-39.2689,25.23,83,38,1.92,BR,1680555944
204,simpang,-1.2667,104.0833,23.39,97,100,0.78,ID,1680555945
205,leningradskiy,69.3833,178.4167,-26.66,91,8,1.31,RU,1680555945
206,gboko,7.3179,8.9951,29.94,56,100,7.0,NG,1680555945
207,houston,29.7633,-95.3633,32.45,64,75,6.17,US,1680555946
208,labuhan,-6.8844,112.2051,25.12,83,100,2.96,ID,1680555947
209,bourg-en-bresse,46.1667,5.1667,5.9,65,0,3.78,FR,1680555949
210,batagay-alyta,67.8006,130.4114,-22.11,88,17,2.95,RU,1680555950
211,cidreira,-30.1811,-50.2056,22.69,72,27,6.18,BR,1680555846
212,polunochnoye,60.8697,60.4153,-1.73,96,100,3.31,RU,1680555951
213,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,60,0,6.0,RU,1680555953
214,nueva gerona,21.8833,-82.8,28.43,62,10,5.74,CU,1680555954
215,nome,64.5011,-165.4064,-9.91,78,75,2.06,US,1680555955
216,gull lake,50.1001,-108.4847,-4.98,84,100,3.22,CA,1680555956
217,aquiraz,-3.9014,-38.3911,28.05,80,71,2.74,BR,1680555956
218,mbuji-mayi,-6.15,23.6,21.11,94,83,0.86,CD,1680555859
219,tabou,4.423,-7.3528,26.55,85,32,2.49,CI,1680555958
220,fukue,32.6881,128.8419,16.57,81,100,5.29,JP,1680555958
221,harper,4.375,-7.7169,26.5,85,40,2.98,LR,1680555958
222,sioux lookout,50.1001,-91.917,-4.12,76,100,3.95,CA,1680555959
223,auki,-8.7676,160.7034,27.27,79,95,1.54,SB,1680555959
224,asau,46.4333,26.4,3.51,90,100,2.54,RO,1680555960
225,aklavik,68.2191,-135.0107,-9.64,82,83,0.99,CA,1680555960
226,russellville,35.2784,-93.1338,28.41,61,24,5.22,US,1680555961
227,rajbiraj,26.5333,86.75,22.5,51,6,3.0,NP,1680555962
228,tres picos,15.8667,-93.5333,30.99,63,22,4.47,MX,1680555963
229,meadow lake,34.8014,-106.5436,24.27,6,0,13.09,US,1680555964
230,ballarat,-37.5662,143.8496,12.54,78,28,0.45,AU,1680555965
231,narrabri,-30.3167,149.7833,15.85,82,17,1.79,AU,1680555965
232,saskylakh,71.9167,114.0833,-22.02,97,97,5.13,RU,1680555966
233,ormara,25.2088,64.6357,23.6,64,0,6.18,PK,1680555966
234,vilhena,-12.7406,-60.1458,23.45,94,82,1.03,BR,1680555966
235,severo-kurilsk,50.6789,156.125,0.02,91,77,6.31,RU,1680555967
236,pa sang,18.5262,98.9394,24.11,47,4,0.63,TH,1680555968
237,ancud,-41.8697,-73.8203,14.05,73,6,2.69,CL,1680555773
238,saint-philippe,-21.3585,55.7679,23.77,81,100,4.74,RE,1680555968
239,smiltene,57.4244,25.9016,-1.36,93,99,3.17,LV,1680555969
240,teknaf,20.8624,92.3058,22.54,88,7,1.82,BD,1680555786
241,agadez,19.75,10.25,23.93,8,65,2.26,NE,1680555970
242,nouadhibou,20.931,-17.0347,20.99,73,65,9.26,MR,1680555970
243,tashla,51.7716,52.7427,8.53,56,42,2.93,RU,1680555971
244,straumen,63.8709,11.2999,3.0,99,100,3.3,NO,1680555971
245,buala,-8.145,159.5921,27.85,80,98,2.9,SB,1680555972
246,berga,60.392,5.328,3.93,86,20,2.06,NO,1680555769
247,mikhaylovka,50.06,43.2379,10.44,80,92,2.99,RU,1680555973
248,kieta,-6.2167,155.6333,27.05,82,73,0.94,PG,1680555974
249,mackay,-21.15,149.2,23.71,84,58,3.56,AU,1680555974
250,okhotsk,59.3833,143.3,-11.25,90,100,2.59,RU,1680555750
251,khatanga,71.9667,102.5,-26.92,96,98,4.37,RU,1680555975
252,esperance,-33.8667,121.9,18.73,84,98,2.46,AU,1680555976
253,port hedland,-20.3167,118.5667,27.03,89,10,1.54,AU,1680555976
254,namibe,-15.1961,12.1522,25.06,67,95,2.59,AO,1680555977
255,necochea,-38.5473,-58.7368,19.05,69,0,5.2,AR,1680555895
256,port hardy,50.6996,-127.4199,6.94,59,42,6.07,CA,1680555977
257,provideniya,64.3833,-173.3,-11.94,67,75,7.0,RU,1680555978
258,vangaindrano,-23.35,47.6,22.91,91,46,0.72,MG,1680555978
259,adrar,20.5022,-10.0711,26.4,6,0,1.87,MR,1680555979
260,maceio,-9.6658,-35.7353,27.69,78,40,5.14,BR,1680555863
261,los llanos de aridane,28.6585,-17.9182,18.4,85,20,8.23,ES,1680555979
262,berea,41.3662,-81.8543,19.63,44,100,2.57,US,1680555980
263,sur,22.5667,59.5289,24.12,58,5,2.48,OM,1680555980
264,pingliang,35.5392,106.6861,1.35,90,96,1.49,CN,1680555981
265,ishigaki,24.3448,124.1572,22.44,64,54,8.45,JP,1680555981
266,general cepeda,25.3833,-101.45,32.26,11,96,4.5,MX,1680555981
267,harer,9.3094,42.1258,16.04,82,99,0.74,ET,1680555982
268,mahibadhoo,3.7833,72.9667,27.54,75,9,3.2,MV,1680555728
269,la huacana,18.9667,-101.8167,36.87,16,3,2.57,MX,1680555983
270,kronshtadt,59.9936,29.7736,0.1,92,99,4.23,RU,1680555983
271,dingle,10.9995,122.6711,23.74,90,100,2.51,PH,1680555984
272,salaya,22.3167,69.6,24.69,79,7,5.12,IN,1680555941
273,airai,-8.9266,125.4092,14.11,87,99,0.91,TL,1680555985
274,sturgeon bay,44.8342,-87.377,13.2,33,0,4.12,US,1680555985
275,dikson,73.5069,80.5464,-27.49,99,100,4.99,RU,1680555986
276,myitkyina,25.3833,97.4,15.81,94,6,1.12,MM,1680555986
277,teya,60.3778,92.6267,-9.69,96,53,1.73,RU,1680555988
278,quelimane,-17.8786,36.8883,21.71,85,9,1.61,MZ,1680555989
279,iskandar,41.5539,69.7008,9.47,82,100,0.95,UZ,1680555990
280,ust-nera,64.5667,143.2,-20.41,98,67,2.61,RU,1680555991
281,meulaboh,4.1363,96.1285,24.41,88,94,1.99,ID,1680555993
282,upernavik,72.7868,-56.1549,-25.26,96,60,1.79,GL,1680555994
283,sawakin,19.1059,37.3321,23.45,56,97,2.39,SD,1680555994
284,orocue,4.7912,-71.3354,33.48,38,98,2.12,CO,1680555995
285,gamba,-2.65,10.0,26.04,83,100,2.38,GA,1680555727
286,salvador,13.8333,-88.9167,32.25,20,22,2.88,SV,1680555995
287,seoul,37.5683,126.9778,13.69,27,100,1.76,KR,1680555908
